Id,Prediction
1,3
2,4
3,2
4,10
5,7
6,5
7,2
8,6
9,6
10,10
11,4
12,5
13,8
14,3
15,9
16,1
17,7
18,5
19,2
20,5
21,7
22,9
23,5
24,1
25,4
26,8
27,5
28,9
29,2
30,6
31,8
32,2
33,9
34,2
35,7
36,8
37,9
38,10
39,5
40,3
41,1
42,5
43,6
44,3
45,8
46,10
47,10
48,10
49,1
50,4
51,6
52,3
53,7
54,8
55,10
56,8
57,8
58,9
59,10
60,7
61,6
62,1
63,2
64,10
65,2
66,2
67,1
68,4
69,1
70,6
71,5
72,4
73,9
74,6
75,8
76,4
77,5
78,1
79,10
80,4
81,1
82,9
83,1
84,8
85,4
86,6
87,3
88,8
89,3
90,4
91,5
92,9
93,4
94,3
95,4
96,5
97,10
98,7
99,10
100,3
101,10
102,2
103,2
104,5
105,6
106,2
107,10
108,4
109,2
110,9
111,1
112,7
113,7
114,6
115,8
116,4
117,4
118,3
119,9
120,8
121,4
122,10
123,1
124,7
125,5
126,4
127,5
128,5
129,1
130,6
131,7
132,1
133,6
134,8
135,6
136,10
137,3
138,1
139,7
140,4
141,2
142,7
143,2
144,9
145,4
146,2
147,9
148,9
149,5
150,8
151,6
152,5
153,6
154,2
155,8
156,3
157,5
158,7
159,10
160,10
161,9
162,8
163,7
164,3
165,2
166,3
167,6
168,6
169,8
170,8
171,9
172,7
173,4
174,3
175,3
176,9
177,9
178,9
179,3
180,5
181,1
182,4
183,10
184,2
185,5
186,6
187,5
188,7
189,10
190,8
191,5
192,7
193,9
194,8
195,6
196,7
197,6
198,1
199,3
200,4
